ID,usborn,firstgen,meim01,meim02,meim03,meim04,meim05,meim06,meim07,meim08,meim09,meim10,meim11,meim12,swl01,swl02,swl03,swl04,swl05
MCAE16236,yes,no,3,1,4,3,4,2,3,2,4,3,3,4,4,3,4,4,3
MCAE16237,yes,no,3,2,3,3,4,4,4,3,4,4,4,4,4,4,4,4,2
MCAE16238,yes,no,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,1
MCAE16240,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3
MCAE16244,yes,no,2,3,3,3,3,3,4,2,3,2,2,3,4,3,5,4,4
MCAE16245,yes,no,3,2,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3
MCAE16246,yes,no,2,2,4,4,4,4,4,3,4,3,3,4,3,4,4,4,5
MCAE16248,yes,no,3,3,4,4,4,4,4,3,4,4,4,4,2,3,4,4,2
MCAE16249,yes,no,3,2,3,4,4,1,2,4,4,2,3,4,4,4,5,5,3
MCAE16250,yes,no,3,2,3,4,4,3,2,1,4,3,2,3,2,2,2,2,2
MCAE16251,yes,no,4,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
MCAE16252,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4
MCAE16253,yes,no,2,3,2,4,4,2,3,2,4,2,3,3,4,4,4,4,2
MCAE16255,yes,no,2,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,2
MCAE16256,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,1,4
MCAE16257,yes,no,2,3,2,4,3,3,3,4,2,3,3,2,2,2,2,3,2
MCAE16259,yes,no,2,4,2,4,3,2,3,1,3,3,2,3,3,4,2,2,4
MCAE16260,yes,no,4,3,3,3,4,4,4,4,4,4,3,4,4,3,4,4,3
MCAE16261,yes,no,3,2,4,2,4,4,4,4,4,4,4,4,5,5,5,5,5
MCAE16262,yes,no,3,3,3,3,4,3,3,3,4,4,4,4,4,2,4,5,5
MCAE16263,yes,no,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,2
MCAE16265,yes,no,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
MCAE16266,yes,no,3,3,2,2,4,3,3,1,4,4,4,4,2,4,4,4,3
MCAE16267,yes,no,3,2,3,4,4,3,4,3,4,4,3,4,4,4,4,4,3
MCAE16269,yes,no,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,1
MCAE16270,yes,no,3,2,3,3,4,4,3,4,4,3,4,4,3,4,5,4,4
MCAE16271,yes,no,3,3,4,2,4,4,4,4,4,4,4,4,5,5,5,5,4
MCAE16272,yes,no,3,2,3,3,4,3,3,2,4,3,3,4,2,3,2,1,3
MCAE16275,yes,no,3,2,3,2,4,2,3,2,4,3,3,3,5,4,4,5,3
MCAE16277,yes,no,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,2
MCAE16278,yes,no,4,3,4,3,4,4,4,4,4,4,4,4,3,3,5,4,3
MCAE16279,yes,no,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,5
MCAE16282,yes,no,3,2,3,2,3,3,3,3,2,4,2,3,4,4,4,4,2
MCAE16284,yes,no,4,3,3,2,3,3,2,3,3,3,3,3,5,5,5,5,5
MCAE16285,yes,no,3,2,3,2,4,4,3,4,4,4,4,4,5,5,5,5,4
MCAE16288,yes,no,2,3,2,1,3,2,1,2,2,3,2,2,4,3,3,4,4
MCAE16290,yes,no,3,4,3,4,3,3,3,3,3,2,3,3,2,2,3,3,1
MCAE16292,yes,no,4,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,2
MCAE16293,yes,no,3,2,3,3,3,2,3,3,3,3,2,3,3,4,4,4,4
MCAE16296,yes,no,3,2,2,3,4,3,3,2,4,3,4,4,4,4,4,4,3
MCAE16297,yes,no,2,2,2,3,4,2,3,2,3,2,3,4,4,2,3,3,4
MCAE16300,yes,no,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4
MCAE16301,yes,no,3,3,2,2,4,2,2,3,4,3,3,3,4,4,4,3,4
MCAE16304,yes,no,2,2,4,3,3,3,3,2,2,2,3,3,4,4,4,4,3
MCAE16305,yes,no,2,2,4,1,4,2,3,2,4,4,4,4,3,3,4,3,1
MCAE16306,yes,no,3,3,3,4,4,4,4,4,4,3,4,4,2,3,4,4,3
MCAE16310,yes,no,1,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,2
MCAE16311,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
MCAE16312,yes,no,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
MCAE16313,yes,no,3,3,3,4,4,3,3,4,4,4,4,4,2,3,2,4,1
MCAE16315,yes,no,3,3,3,4,3,2,3,2,3,3,2,3,3,4,4,4,1
MCAE16011,no,yes,2,3,3,3,4,3,3,2,3,3,2,4,5,3,2,1,2
MCAE16029,no,yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
MCAE16030,no,yes,4,3,4,4,4,4,4,4,4,4,4,4,5,5,2,5,2
MCAE16033,no,yes,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
MCAE16040,no,yes,3,3,3,3,3,3,3,3,4,3,4,4,3,2,5,5,5
MCAE16120,no,yes,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,2
MCAE16130,no,yes,3,2,4,4,4,3,3,3,4,4,3,4,2,2,3,4,1
MCAE16133,no,yes,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3
MCAE16142,no,yes,3,2,3,3,4,3,3,4,3,3,3,3,2,2,2,2,1
